model_name,test_fold,val_fold,participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
HyperRNN,3,4,2,16,2,400,0.005,50,0.4262959957122803,0.8204656862745098,0.6378328076144443,0.8144406871843054,4346,550,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_16hyperh_2hidden.pt
HyperRNN,4,0,2,16,2,400,0.005,50,0.4059508230004992,0.7921624948707428,0.5926428572667861,0.7966429623585568,4410,464,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_16hyperh_2hidden.pt
HyperRNN,0,1,2,16,4,400,0.005,50,0.40739779812949045,0.8258937588365987,0.6522139260508812,0.8215610407954839,4364,587,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_16hyperh_4hidden.pt
HyperRNN,1,2,2,16,4,400,0.005,50,0.40466717737061636,0.8105968331303288,0.6447426286869052,0.8092560122648981,4280,646,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_16hyperh_4hidden.pt
HyperRNN,2,3,2,16,4,400,0.005,50,0.3928128736359732,0.8163680781758957,0.6375063949070808,0.8112953735685247,4352,560,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_16hyperh_4hidden.pt
HyperRNN,3,4,2,16,4,400,0.005,50,0.41541498473712374,0.8247549019607843,0.6485143945930811,0.8200398338324478,4325,571,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_16hyperh_4hidden.pt
HyperRNN,4,0,2,16,4,400,0.005,50,0.3962660644735609,0.8137053754616331,0.6429958193799635,0.8164515218354178,4301,573,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_16hyperh_4hidden.pt
HyperRNN,0,1,2,16,8,400,0.005,50,0.3980607177530016,0.8234700060593819,0.6743929455162567,0.8218023890941054,4226,725,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_16hyperh_8hidden.pt
HyperRNN,1,2,2,16,8,400,0.005,50,0.40168948684419903,0.8241981323589119,0.6490311724500303,0.8093521595555547,4371,555,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_16hyperh_8hidden.pt
HyperRNN,2,3,2,16,8,400,0.005,50,0.39369129708835054,0.8194218241042345,0.6495896159826765,0.813782702318715,4311,601,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_16hyperh_8hidden.pt
HyperRNN,3,4,2,16,8,400,0.005,50,0.4174564906529018,0.8261846405228758,0.6456001709615469,0.8107152021368114,4352,544,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_16hyperh_8hidden.pt
HyperRNN,4,0,2,16,8,400,0.005,50,0.3897818922996521,0.8124743537135822,0.6463143894676234,0.816403189535239,4271,603,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_16hyperh_8hidden.pt
HyperRNN,0,1,2,16,16,400,0.005,50,0.4034042869295393,0.8264996970309029,0.6401810620341343,0.8199854174817464,4433,518,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_16hyperh_16hidden.pt
HyperRNN,1,2,2,16,16,400,0.005,50,0.40642714500427246,0.8134388956557044,0.6372139212286475,0.807348549911557,4346,580,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_16hyperh_16hidden.pt
HyperRNN,2,3,2,16,16,400,0.005,50,0.3960359735148294,0.8094462540716613,0.6367682687485557,0.8118236155972162,4298,614,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_16hyperh_16hidden.pt
HyperRNN,3,4,2,16,16,400,0.005,50,0.4266179161412375,0.8245506535947712,0.6221067370964458,0.8137833327570487,4462,434,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_16hyperh_16hidden.pt
HyperRNN,4,0,2,16,16,400,0.005,50,0.39608645864895414,0.8048830529339351,0.6236813647256993,0.8112876493127271,4338,536,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_16hyperh_16hidden.pt
HyperRNN,0,1,2,16,32,400,0.005,50,0.4076032723699297,0.8240759442536861,0.6330225444715997,0.8144996976794996,4451,500,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_16hyperh_32hidden.pt
